,ip,time,method,url,status,size,user_agent
0,20.171.207.17,2025-04-17 05:10:56+01:00,GET,/music/,200,10353,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
1,20.171.207.17,2025-04-17 05:13:27+01:00,GET,/wp-content/themes/simple-grid/assets/js/theia-sticky-sidebar.min.js,200,1737,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
2,84.203.1.217,2025-04-17 05:13:48+01:00,POST,/wp-cron.php?doing_wp_cron=1744863228.0052878856658935546875,200,0,WordPress/6.8; https://website.local.lan
3,20.171.207.17,2025-04-17 05:13:48+01:00,GET,/music/nggallery/album/the-presidents-of-the-united-states-of-america,200,10456,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
4,20.171.207.17,2025-04-17 05:14:09+01:00,GET,/mountains/nggallery/album/piccolo-san-bernardo-val-daosta-italy,200,10520,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
5,20.171.207.17,2025-04-17 05:14:29+01:00,GET,/xmlrpc.php,405,42,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
6,20.171.207.17,2025-04-17 05:14:50+01:00,GET,/wp-content/themes/simple-grid/assets/js/ResizeSensor.min.js,200,1267,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
7,20.171.207.17,2025-04-17 05:15:10+01:00,GET,/wp-content/uploads/2022/01/thingiverse.png,200,18741,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
8,20.171.207.17,2025-04-17 05:15:32+01:00,GET,/wp-content/uploads/2021/01/f179731176.jpg,200,1033652,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
9,84.203.1.217,2025-04-17 05:15:54+01:00,POST,/wp-cron.php?doing_wp_cron=1744863354.2370080947875976562500,200,0,WordPress/6.8; https://website.local.lan
10,20.171.207.17,2025-04-17 05:15:54+01:00,GET,/mountains/nggallery/album/val-di-rhemes-val-daosta-italy,200,10072,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
11,20.171.207.17,2025-04-17 05:16:16+01:00,GET,/mountains/nggallery/album/la-thuile-val-daosta-italy,200,10078,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
12,84.203.1.217,2025-04-17 05:16:38+01:00,POST,/wp-cron.php?doing_wp_cron=1744863398.1291968822479248046875,200,0,WordPress/6.8; https://website.local.lan
13,20.171.207.17,2025-04-17 05:16:38+01:00,GET,/mountains/nggallery/album/val-di-cogne-val-daosta-italy,200,10260,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
14,84.203.1.217,2025-04-17 05:19:06+01:00,POST,/wp-cron.php?doing_wp_cron=1744863546.3207969665527343750000,200,0,WordPress/6.8; https://website.local.lan
15,20.171.207.17,2025-04-17 05:19:06+01:00,GET,/music,301,0,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
16,20.171.207.17,2025-04-17 05:19:27+01:00,GET,/mountains,301,0,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
17,84.203.1.217,2025-04-17 05:19:49+01:00,POST,/wp-cron.php?doing_wp_cron=1744863588.4134769439697265625000,499,0,WordPress/6.8; https://website.local.lan
18,20.171.207.17,2025-04-17 05:19:49+01:00,GET,/xmlrpc.php,405,42,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
19,20.171.207.17,2025-04-17 05:20:10+01:00,GET,/wp-content/gallery/val-di-cogne-val-daosta-italy/thumbs/thumbs_raw__MG_6519-raw__MG_6526-thumb.jpg,200,19793,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
